iter	RMSE
0	15.82736194
1	14.93150361
2	14.07554393
3	13.302527
4	12.61320742
5	11.98004294
6	11.3837263
7	10.82926899
8	10.27268406
9	9.816715903
10	9.407286889
11	9.058693279
12	8.673380746
13	8.34980628
14	8.017729099
15	7.737044271
16	7.478363591
17	7.20332191
18	6.985791977
19	6.752966436
20	6.538547556
21	6.362578051
22	6.182329631
23	6.033155385
24	5.90001516
25	5.773958056
26	5.643574522
27	5.529083962
28	5.427929177
29	5.31546484
30	5.217544293
31	5.119132493
32	5.030375987
33	4.942503585
34	4.867533454
35	4.777956928
36	4.711367979
37	4.654898715
38	4.585209165
39	4.538291519
40	4.480652252
41	4.429313599
42	4.376659223
43	4.322185633
44	4.270245576
45	4.225334431
46	4.184643126
47	4.153781731
48	4.108720114
49	4.061299423
50	4.031135952
51	3.989360239
52	3.964617789
53	3.937540527
54	3.910566022
55	3.883716814
56	3.848440643
57	3.815962623
58	3.778669741
59	3.746567536
60	3.742099172
61	3.723723657
62	3.698262318
63	3.661894091
64	3.642949082
65	3.623623348
66	3.599500094
67	3.580377576
68	3.562961568
69	3.544929849
70	3.528359265
71	3.508125548
72	3.487523083
73	3.476403756
74	3.465319991
75	3.452185823
76	3.431402219
77	3.414233074
78	3.399949004
79	3.37709715
80	3.357268901
81	3.340262492
82	3.323867986
83	3.303319238
84	3.291708541
85	3.279002503
86	3.259733399
87	3.249416497
88	3.24012494
89	3.226192378
90	3.20942439
91	3.174370832
92	3.149515337
93	3.126086412
94	3.109236751
95	3.081608371
96	3.047444778
97	3.030168776
98	3.015731973
99	3.001030298
