iter	Passed	Remaining
0	3	380
1	6	334
2	9	315
3	12	302
4	15	303
5	18	296
6	21	289
7	24	285
8	27	279
9	30	273
10	33	270
11	36	267
12	39	261
13	41	256
14	44	254
15	47	250
16	50	248
17	53	244
18	56	241
19	59	239
20	62	235
21	65	231
22	68	227
23	70	223
24	73	220
25	76	217
26	79	215
27	82	212
28	85	208
29	87	205
30	91	202
31	94	200
32	97	197
33	99	194
34	102	190
35	105	188
36	108	185
37	112	182
38	115	180
39	118	177
40	122	176
41	126	174
42	129	171
43	132	168
44	135	165
45	138	162
46	141	159
47	144	156
48	147	153
49	150	150
50	153	147
51	156	144
52	159	141
53	161	137
54	164	134
55	167	131
56	170	128
57	173	125
58	176	122
59	179	119
60	180	115
61	181	111
62	184	108
63	187	105
64	190	102
65	193	99
66	196	96
67	199	93
68	203	91
69	206	88
70	212	86
71	216	84
72	220	81
73	224	78
74	227	75
75	230	72
76	234	69
77	238	67
78	255	67
79	263	65
80	268	63
81	272	59
82	277	56
83	281	53
84	285	50
85	289	47
86	292	43
87	295	40
88	298	36
89	301	33
90	304	30
91	307	26
92	310	23
93	312	19
94	315	16
95	318	13
96	321	9
97	324	6
98	327	3
99	330	0
