iter	RMSE
0	16.39685545
1	15.33479345
2	14.39295307
3	13.48755601
4	12.73273318
5	12.0022192
6	11.39710201
7	10.82441303
8	10.3345559
9	9.792763037
10	9.331417483
11	8.846849446
12	8.43443297
13	8.128630028
14	7.813492702
15	7.56971364
16	7.337258406
17	7.095603726
18	6.898515139
19	6.672803382
20	6.505961106
21	6.31620703
22	6.168608631
23	6.027055218
24	5.927853562
25	5.826858113
26	5.717878389
27	5.630120876
28	5.514298905
29	5.415764791
30	5.330778183
31	5.242249078
32	5.159697409
33	5.102144907
34	5.01500193
35	4.943906977
36	4.875212191
37	4.825217192
38	4.753520135
39	4.709471443
40	4.655715162
41	4.607081257
42	4.560285146
43	4.51062462
44	4.465607127
45	4.425621943
46	4.391642951
47	4.360140815
48	4.327574412
49	4.287441223
50	4.254298859
51	4.207150237
52	4.177838682
53	4.139995879
54	4.114818916
55	4.087897547
56	4.062544756
57	4.026398828
58	3.99807283
59	3.978545297
60	3.942182492
61	3.919359774
62	3.893071128
63	3.886643422
64	3.868548117
65	3.840483031
66	3.809331616
67	3.800884313
68	3.763086723
69	3.741804851
70	3.707807784
71	3.687463082
72	3.677931481
73	3.665336543
74	3.635416193
75	3.627355072
76	3.602263378
77	3.58327623
78	3.574646849
79	3.5637823
80	3.556854234
81	3.538807125
82	3.519090345
83	3.516233624
84	3.505684179
85	3.47987829
86	3.474365808
87	3.466102778
88	3.434271468
89	3.412652419
90	3.406003485
91	3.399154901
92	3.383277536
93	3.377402052
94	3.35097659
95	3.344665917
96	3.32775318
97	3.31506715
98	3.30997638
99	3.29471777
100	3.290548554
101	3.271648139
102	3.26399928
103	3.245454657
104	3.24097399
105	3.237796222
106	3.224645116
107	3.22122061
108	3.209036496
109	3.195152739
110	3.174017069
111	3.153405095
112	3.134270859
113	3.121817508
114	3.103046708
115	3.09954662
116	3.086608448
117	3.073039357
118	3.070616649
119	3.06003798
120	3.048096189
121	3.035670406
122	3.022409599
123	3.010488193
124	3.006404906
125	3.002656483
126	2.987198881
127	2.972052743
128	2.966081204
129	2.956626732
130	2.941956615
131	2.929094909
132	2.916607648
133	2.90056961
134	2.889476848
135	2.880770897
136	2.86706244
137	2.855862279
138	2.844828058
139	2.836727369
140	2.83264787
141	2.814060906
142	2.804873603
143	2.794724299
144	2.784300221
145	2.77540653
146	2.765297964
147	2.763067268
148	2.759573213
149	2.748612607
150	2.745760959
151	2.732762185
152	2.715657656
153	2.70587591
154	2.696098607
155	2.685714066
156	2.68473028
157	2.676001437
158	2.663218862
159	2.656406121
160	2.648213632
161	2.64088638
162	2.634149852
163	2.626975704
164	2.618319653
165	2.613041247
166	2.603473433
167	2.595292195
168	2.585547001
169	2.582182149
170	2.571529527
171	2.567800798
172	2.564837344
173	2.555802611
174	2.546056064
175	2.540692183
176	2.529393957
177	2.520916078
178	2.509622999
179	2.502593947
180	2.49350719
181	2.483449328
182	2.479266008
183	2.474877249
184	2.467390861
185	2.460493411
186	2.454701174
187	2.446669608
188	2.442316957
189	2.43300276
190	2.42756212
191	2.420546857
192	2.415354706
193	2.413508022
194	2.41182453
195	2.404714078
196	2.399627638
197	2.390619452
198	2.383923946
199	2.381985121
200	2.379956215
201	2.378183637
202	2.377200133
203	2.371315479
204	2.368928739
205	2.364220642
206	2.355117698
207	2.348056056
208	2.345681079
209	2.339644578
210	2.337647583
211	2.325911326
212	2.318237192
213	2.312865607
214	2.30880542
215	2.303503857
216	2.296529043
217	2.290256504
218	2.285122362
219	2.281922093
220	2.279292621
221	2.27630132
222	2.271718412
223	2.268117862
224	2.264943014
225	2.257367423
226	2.254070356
227	2.249345438
228	2.245063494
229	2.239889863
230	2.235370921
231	2.234435315
232	2.229344583
233	2.227338919
234	2.224514028
235	2.220578896
236	2.214803119
237	2.20636243
238	2.200283794
239	2.196065389
240	2.192136093
241	2.188817764
242	2.187876864
243	2.183073657
244	2.179482104
245	2.173842262
246	2.169307859
247	2.163014583
248	2.157136183
249	2.152636685
250	2.150486788
251	2.145259708
252	2.141560562
253	2.139618212
254	2.135518905
255	2.134180855
256	2.130862026
257	2.125915262
258	2.124609855
259	2.12007458
260	2.118821836
261	2.112876842
262	2.108757048
263	2.106167141
264	2.10242649
265	2.099261541
266	2.0936417
267	2.089834157
268	2.087914784
269	2.082599365
270	2.076730123
271	2.071356499
272	2.067813193
273	2.062283989
274	2.059969831
275	2.057502121
276	2.054633844
277	2.053088218
278	2.050420086
279	2.045843424
280	2.043776637
281	2.040771839
282	2.037596763
283	2.034259445
284	2.031346154
285	2.029136262
286	2.025661708
287	2.022892007
288	2.019976569
289	2.016957776
290	2.011806222
291	2.007383629
292	2.003101545
293	1.999554619
294	1.995414027
295	1.99461297
296	1.988659038
297	1.986514178
298	1.985320339
299	1.983046698
