iter	Passed	Remaining
0	0	271
1	2	299
2	2	278
3	3	260
4	4	244
5	4	236
6	5	229
7	6	227
8	6	225
9	7	225
10	8	223
11	9	222
12	9	219
13	10	217
14	11	214
15	11	212
16	12	210
17	13	211
18	14	213
19	15	212
20	15	210
21	16	207
22	17	205
23	17	203
24	18	201
25	18	199
26	19	198
27	20	200
28	21	199
29	22	198
30	22	196
31	23	194
32	23	193
33	24	191
34	25	190
35	25	189
36	26	189
37	27	188
38	28	187
39	28	188
40	29	187
41	30	186
42	31	185
43	31	184
44	32	184
45	33	184
46	34	183
47	34	182
48	35	181
49	36	180
50	36	179
51	37	178
52	38	177
53	38	176
54	39	176
55	40	175
56	40	174
57	41	173
58	42	172
59	42	171
60	43	171
61	44	171
62	45	171
63	46	170
64	47	170
65	47	169
66	48	168
67	49	167
68	49	166
69	50	165
70	51	164
71	52	164
72	52	164
73	53	163
74	54	162
75	54	161
76	55	160
77	56	160
78	56	159
79	57	158
80	58	158
81	59	158
82	60	157
83	60	155
84	61	155
85	62	154
86	62	153
87	63	152
88	64	151
89	64	151
90	65	150
91	66	149
92	66	149
93	67	148
94	68	147
95	68	146
96	69	145
97	70	144
98	71	144
99	71	143
100	72	143
101	73	142
102	74	141
103	74	141
104	75	140
105	76	139
106	76	138
107	77	138
108	78	137
109	79	136
110	79	135
111	80	135
112	81	134
113	81	133
114	82	132
115	83	131
116	83	131
117	84	130
118	85	129
119	86	129
120	86	128
121	87	127
122	88	126
123	88	126
124	89	125
125	90	125
126	91	124
127	91	123
128	92	122
129	93	122
130	94	121
131	94	120
132	95	119
133	96	119
134	97	118
135	97	118
136	98	117
137	99	116
138	99	115
139	100	114
140	101	114
141	102	113
142	103	113
143	103	112
144	104	111
145	105	110
146	105	110
147	106	109
148	107	108
149	107	107
150	108	106
151	109	106
152	109	105
153	110	104
154	111	104
155	111	103
156	112	102
157	113	101
158	114	101
159	114	100
160	115	99
161	116	99
162	117	98
163	118	98
164	118	97
165	119	96
166	120	95
167	121	95
168	122	94
169	122	93
170	123	93
171	124	92
172	124	91
173	125	90
174	126	90
175	127	89
176	127	88
177	128	88
178	129	87
179	129	86
180	130	85
181	131	85
182	132	84
183	133	83
184	133	83
185	134	82
186	135	81
187	136	81
188	136	80
189	137	79
190	138	78
191	139	78
192	139	77
193	140	76
194	141	76
195	142	75
196	142	74
197	143	73
198	144	73
199	144	72
200	146	71
201	147	71
202	147	70
203	148	69
204	149	69
205	149	68
206	150	67
207	151	66
208	152	66
209	152	65
210	153	64
211	154	64
212	155	63
213	155	62
214	156	61
215	157	61
216	157	60
217	158	59
218	159	58
219	160	58
220	161	57
221	161	56
222	162	56
223	163	55
224	163	54
225	164	53
226	165	53
227	166	52
228	166	51
229	167	51
230	168	50
231	168	49
232	169	48
233	170	47
234	170	47
235	171	46
236	172	45
237	173	45
238	173	44
239	174	43
240	175	42
241	175	42
242	176	41
243	177	40
244	177	39
245	178	39
246	179	38
247	180	37
248	181	37
249	181	36
250	182	35
251	183	34
252	183	34
253	184	33
254	185	32
255	186	31
256	186	31
257	187	30
258	188	29
259	188	29
260	189	28
261	190	27
262	191	26
263	192	26
264	192	25
265	193	24
266	194	23
267	194	23
268	195	22
269	196	21
270	196	21
271	197	20
272	198	19
273	199	18
274	200	18
275	200	17
276	201	16
277	202	15
278	202	15
279	203	14
280	204	13
281	205	13
282	205	12
283	206	11
284	207	10
285	208	10
286	208	9
287	209	8
288	210	7
289	211	7
290	212	6
291	212	5
292	214	5
293	215	4
294	216	3
295	217	2
296	218	2
297	219	1
298	220	0
299	221	0
